Date,Open,High,Low,Close,Adj Close,Volume
2021-07-23,279.049988,279.920013,277.739990,278.489990,278.489990,3217500
2021-07-26,277.779999,280.250000,277.779999,278.799988,278.799988,2423800
2021-07-27,278.070007,281.089996,276.910004,280.779999,280.779999,3390300
2021-07-28,280.799988,280.980011,277.600006,278.100006,278.100006,3794000
2021-07-29,279.290009,281.239990,279.079987,279.760010,279.760010,3543600
2021-07-30,280.010010,281.079987,277.600006,278.290009,278.290009,3607400
2021-08-02,279.309998,281.980011,277.730011,278.140015,278.140015,3091200
2021-08-03,279.049988,282.510010,276.769989,281.799988,281.799988,3630600
2021-08-04,280.170013,280.920013,278.640015,278.779999,278.779999,3024600
2021-08-05,280.160004,282.000000,278.329987,280.209991,280.209991,3584900
2021-08-06,281.820007,285.829987,281.500000,285.630005,285.630005,4831900
2021-08-09,287.859985,288.730011,286.059998,287.230011,287.230011,3676500
2021-08-10,287.010010,289.059998,286.000000,288.940002,288.940002,3134100
2021-08-11,289.450012,291.820007,288.829987,291.279999,291.279999,3475100
2021-08-12,291.809998,291.809998,288.929993,290.239990,290.239990,3170300
2021-08-13,290.609985,291.049988,287.119995,287.890015,287.890015,3115200
2021-08-16,287.000000,289.489990,285.209991,289.450012,289.450012,3562300
2021-08-17,288.529999,290.769989,287.600006,289.100006,289.100006,3626300
2021-08-18,289.000000,290.070007,285.950012,286.359985,286.359985,3880500
2021-08-19,284.959991,287.149994,283.980011,285.130005,285.130005,3393100
2021-08-20,284.959991,285.920013,283.950012,285.269989,285.269989,2846100
2021-08-23,287.380005,287.380005,285.390015,285.619995,285.619995,2956500
2021-08-24,286.010010,286.579987,284.179993,286.019989,286.019989,3185000
2021-08-25,286.200012,288.559998,285.220001,287.299988,287.299988,2973300
2021-08-26,288.160004,288.170013,284.989990,285.269989,285.269989,3340300
2021-08-27,285.619995,286.709991,285.119995,286.600006,286.600006,3484400
2021-08-30,286.299988,287.040009,285.019989,285.660004,285.660004,3505200
2021-08-31,285.279999,286.329987,284.760010,285.769989,285.769989,6497800
2021-09-01,286.589996,287.140015,284.850006,285.260010,285.260010,3323200
2021-09-02,285.350006,286.440002,284.209991,285.049988,285.049988,3969800
2021-09-03,284.299988,284.820007,281.709991,281.890015,281.890015,4495100
2021-09-07,281.910004,281.910004,278.730011,278.899994,278.899994,4863900
2021-09-08,278.179993,279.950012,277.589996,279.339996,279.339996,4646800
2021-09-09,278.910004,280.109985,278.369995,278.609985,278.609985,3683700
2021-09-10,279.970001,279.970001,277.489990,277.600006,277.600006,4552300
2021-09-13,278.359985,280.839996,277.820007,279.920013,279.920013,4601900
2021-09-14,280.540009,280.779999,276.359985,277.200012,277.200012,5283200
2021-09-15,277.600006,279.059998,276.670013,278.179993,278.179993,3883500
2021-09-16,278.959991,279.209991,276.209991,277.510010,277.510010,4210000
2021-09-17,277.640015,281.000000,275.420013,276.760010,276.760010,15863300
2021-09-20,273.049988,274.910004,271.359985,274.200012,274.200012,7644000
2021-09-21,276.029999,276.220001,272.589996,273.179993,273.179993,4648400
2021-09-22,276.279999,276.609985,273.670013,274.070007,274.070007,5018400
2021-09-23,275.149994,279.700012,275.010010,278.119995,278.119995,4731600
2021-09-24,278.299988,279.130005,277.410004,277.869995,277.869995,3106100
2021-09-27,279.769989,280.630005,278.119995,279.720001,279.720001,3358400
2021-09-28,279.140015,281.380005,275.820007,276.790009,276.790009,4959500
2021-09-29,277.029999,278.779999,275.950012,277.290009,277.290009,2952000
2021-09-30,278.369995,278.369995,272.839996,272.940002,272.940002,5187900
2021-10-01,273.019989,277.510010,272.220001,275.709991,275.709991,3950700
2021-10-04,274.679993,276.959991,273.049988,273.640015,273.640015,4307000
2021-10-05,273.859985,279.670013,273.200012,278.049988,278.049988,5069400
2021-10-06,276.279999,280.390015,274.609985,280.220001,280.220001,3866100
2021-10-07,282.140015,284.989990,282.140015,282.950012,282.950012,3794200
2021-10-08,282.589996,284.720001,281.709991,284.140015,284.140015,2299900
2021-10-11,284.429993,285.609985,280.799988,280.929993,280.929993,2907900
2021-10-12,281.459991,281.519989,278.209991,278.619995,278.619995,3770800
2021-10-13,278.470001,279.410004,275.549988,277.899994,277.899994,3311400
2021-10-14,280.809998,282.380005,279.299988,281.640015,281.640015,3646400
2021-10-15,283.940002,284.970001,282.269989,284.209991,284.209991,4313700
2021-10-18,282.829987,283.510010,281.570007,282.589996,282.589996,3551500
2021-10-19,283.600006,285.149994,283.049988,284.829987,284.829987,2682700
2021-10-20,284.339996,287.700012,284.320007,287.489990,287.489990,3147600
2021-10-21,286.989990,287.279999,285.250000,286.820007,286.820007,2488800
2021-10-22,287.660004,289.799988,286.239990,289.239990,289.239990,3406500
2021-10-25,289.700012,290.470001,287.600006,290.260010,290.260010,3142900
2021-10-26,290.649994,292.220001,290.299988,290.850006,290.850006,3872300
2021-10-27,290.850006,290.950012,287.640015,287.779999,287.779999,3691500
2021-10-28,288.209991,289.859985,287.200012,289.720001,289.720001,3300100
2021-10-29,288.809998,290.000000,286.739990,287.010010,287.010010,4420300
2021-11-01,288.049988,288.420013,285.619995,286.239990,286.239990,2889500
2021-11-02,286.609985,288.500000,285.220001,287.929993,287.929993,3838300
2021-11-03,287.209991,288.880005,286.130005,288.720001,288.720001,2773100
2021-11-04,289.130005,289.130005,285.250000,287.690002,287.690002,3426300
2021-11-05,288.829987,290.700012,286.820007,287.880005,287.880005,3581100
2021-11-08,290.000000,295.649994,288.609985,288.799988,288.799988,4721000
2021-11-09,288.790009,288.989990,285.299988,286.350006,286.350006,3587200
2021-11-10,286.489990,287.239990,284.519989,285.320007,285.320007,3421700
2021-11-11,286.500000,287.070007,284.250000,284.649994,284.649994,2861000
2021-11-12,284.880005,286.100006,283.799988,285.989990,285.989990,2917000
2021-11-15,286.600006,286.989990,284.239990,284.670013,284.670013,3217300
2021-11-16,284.470001,285.160004,283.119995,283.359985,283.359985,4204200
2021-11-17,283.119995,283.119995,280.899994,281.589996,281.589996,3740800
2021-11-18,281.100006,281.750000,279.250000,280.630005,280.630005,3338000
2021-11-19,280.959991,280.970001,278.010010,279.989990,279.989990,4529200
